Timestamp,User,Module,Event,Mark
2025-01-10 00:14:59,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-10 00:14:59,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-10 00:15:30,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:19:14,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:19:17,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:19:18,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:19:20,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:19:20,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-10 00:19:20,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-10 00:19:44,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:19:55,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-10 00:19:55,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-10 00:20:00,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:28:28,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:28:40,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:28:40,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:28:43,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:28:43,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-10 00:28:43,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-10 00:29:01,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:29:04,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-10 00:29:09,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:29:12,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-10 00:29:14,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:29:17,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:29:19,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:29:24,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-10 00:29:24,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-10 00:29:31,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:30:31,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
